StartController,controller starts
ControllerExecution,Begin#NewStatsIn$1369851295.546474$61$2$57#AddNewDataToBuffer$1369851295.546495$61$2$57#NewStatsIn$1369851295.548707$61$2$57#AddNewDataToBuffer$1369851295.548729$61$2$57#NewStatsIn$1369851295.654231$61$2$57#AddNewDataToBuffer$1369851295.654254$61$2$57#NewStatsIn$1369851295.659403$61$2$57#AddNewDataToBuffer$1369851295.659427$61$2$57#ReleaseBuffer$1369851295.659433$61$2$57#StartRunGo$1369851295.659538$61$2#DoneRunGo$1369851295.659667$61$2
ControllerExecution,Begin#NewStatsIn$1369851296.544226$61$2$58#AddNewDataToBuffer$1369851296.544246$61$2$58#NewStatsIn$1369851296.545903$61$2$58#AddNewDataToBuffer$1369851296.545925$61$2$58#NewStatsIn$1369851296.652381$61$2$58#AddNewDataToBuffer$1369851296.652404$61$2$58#NewStatsIn$1369851296.658227$61$2$58#AddNewDataToBuffer$1369851296.658251$61$2$58#ReleaseBuffer$1369851296.658256$61$2$58#StartRunGo$1369851296.658354$61$2#DoneRunGo$1369851296.658420$61$2
ControllerExecution,Begin#NewStatsIn$1369851297.543479$61$2$59#AddNewDataToBuffer$1369851297.543517$61$2$59#NewStatsIn$1369851297.548162$61$2$59#AddNewDataToBuffer$1369851297.548186$61$2$59#NewStatsIn$1369851297.652628$61$2$59#AddNewDataToBuffer$1369851297.652652$61$2$59#NewStatsIn$1369851297.658526$61$2$59#AddNewDataToBuffer$1369851297.658550$61$2$59#ReleaseBuffer$1369851297.658556$61$2$59#StartRunGo$1369851297.658695$61$2#DoneRunGo$1369851297.658771$61$2
ControllerExecution,Begin#NewStatsIn$1369851298.543464$61$2$60#AddNewDataToBuffer$1369851298.543501$61$2$60#NewStatsIn$1369851298.545438$61$2$60#AddNewDataToBuffer$1369851298.545461$61$2$60#NewStatsIn$1369851298.651564$61$2$60#AddNewDataToBuffer$1369851298.651587$61$2$60#NewStatsIn$1369851298.656915$61$2$60#AddNewDataToBuffer$1369851298.656939$61$2$60#ReleaseBuffer$1369851298.656945$61$2$60#StartRunGo$1369851298.657077$61$2#DoneRunGo$1369851298.657221$61$2
ControllerExecution,Begin#NewStatsIn$1369851299.543991$61$2$61#AddNewDataToBuffer$1369851299.544010$61$2$61#NewStatsIn$1369851299.546597$61$2$61#AddNewDataToBuffer$1369851299.546619$61$2$61#NewStatsIn$1369851299.651367$61$2$61#AddNewDataToBuffer$1369851299.651391$61$2$61#NewStatsIn$1369851299.657342$61$2$61#AddNewDataToBuffer$1369851299.657367$61$2$61#ReleaseBuffer$1369851299.657372$61$2$61#StartRunGo$1369851299.657469$61$2#DoneRunGo$1369851299.657540$61$2
ControllerExecution,Begin#NewStatsIn$1369851300.543156$61$2$62#AddNewDataToBuffer$1369851300.543197$61$2$62#NewStatsIn$1369851300.544183$61$2$62#AddNewDataToBuffer$1369851300.544208$61$2$62#NewStatsIn$1369851300.650252$61$2$62#AddNewDataToBuffer$1369851300.650280$61$2$62#NewStatsIn$1369851300.656151$61$2$62#AddNewDataToBuffer$1369851300.656177$61$2$62#ReleaseBuffer$1369851300.656183$61$2$62#StartRunGo$1369851300.656325$61$2#DoneRunGo$1369851300.656447$61$2
ControllerExecution,Begin#NewStatsIn$1369851301.543611$61$2$63#AddNewDataToBuffer$1369851301.543651$61$2$63#NewStatsIn$1369851301.544686$61$2$63#AddNewDataToBuffer$1369851301.544710$61$2$63#NewStatsIn$1369851301.648929$61$2$63#AddNewDataToBuffer$1369851301.648954$61$2$63#NewStatsIn$1369851301.654786$61$2$63#AddNewDataToBuffer$1369851301.654811$61$2$63#ReleaseBuffer$1369851301.654817$61$2$63#StartRunGo$1369851301.654962$61$2#DoneRunGo$1369851301.655035$61$2
ControllerExecution,Begin#NewStatsIn$1369851302.542438$61$2$64#AddNewDataToBuffer$1369851302.542462$61$2$64#NewStatsIn$1369851302.543671$61$2$64#AddNewDataToBuffer$1369851302.543693$61$2$64#NewStatsIn$1369851302.647959$61$2$64#AddNewDataToBuffer$1369851302.647983$61$2$64#NewStatsIn$1369851302.655412$61$2$64#AddNewDataToBuffer$1369851302.655438$61$2$64#ReleaseBuffer$1369851302.655443$61$2$64#StartRunGo$1369851302.655542$61$2#DoneRunGo$1369851302.655607$61$2
ControllerExecution,Begin#NewStatsIn$1369851303.542413$61$2$65#AddNewDataToBuffer$1369851303.542452$61$2$65#NewStatsIn$1369851303.542971$61$2$65#AddNewDataToBuffer$1369851303.542996$61$2$65#NewStatsIn$1369851303.649442$61$2$65#AddNewDataToBuffer$1369851303.649466$61$2$65#NewStatsIn$1369851303.655099$61$2$65#AddNewDataToBuffer$1369851303.655124$61$2$65#ReleaseBuffer$1369851303.655131$61$2$65#StartRunGo$1369851303.655270$61$2#DoneRunGo$1369851303.655346$61$2
ControllerExecution,Begin#NewStatsIn$1369851304.539669$61$2$66#AddNewDataToBuffer$1369851304.539689$61$2$66#NewStatsIn$1369851304.544397$61$2$66#AddNewDataToBuffer$1369851304.544420$61$2$66#NewStatsIn$1369851304.648005$61$2$66#AddNewDataToBuffer$1369851304.648028$61$2$66#NewStatsIn$1369851304.653829$61$2$66#AddNewDataToBuffer$1369851304.653853$61$2$66#ReleaseBuffer$1369851304.653858$61$2$66#StartRunGo$1369851304.653953$61$2#DoneRunGo$1369851304.654015$61$2
ControllerExecution,Begin#NewStatsIn$1369851305.539586$61$2$67#AddNewDataToBuffer$1369851305.539607$61$2$67#NewStatsIn$1369851305.541574$61$2$67#AddNewDataToBuffer$1369851305.541595$61$2$67#NewStatsIn$1369851305.647993$61$2$67#AddNewDataToBuffer$1369851305.648016$61$2$67#NewStatsIn$1369851305.653931$61$2$67#AddNewDataToBuffer$1369851305.653956$61$2$67#ReleaseBuffer$1369851305.653961$61$2$67#StartRunGo$1369851305.654058$61$2#DoneRunGo$1369851305.654120$61$2
ControllerExecution,Begin#NewStatsIn$1369851306.539490$61$2$68#AddNewDataToBuffer$1369851306.539511$61$2$68#NewStatsIn$1369851306.542465$61$2$68#AddNewDataToBuffer$1369851306.542487$61$2$68#NewStatsIn$1369851306.646950$61$2$68#AddNewDataToBuffer$1369851306.646972$61$2$68#NewStatsIn$1369851306.652665$61$2$68#AddNewDataToBuffer$1369851306.652689$61$2$68#ReleaseBuffer$1369851306.652695$61$2$68#StartRunGo$1369851306.652792$61$2#DoneRunGo$1369851306.652912$61$2
ControllerExecution,Begin#NewStatsIn$1369851307.540642$61$2$69#AddNewDataToBuffer$1369851307.540681$61$2$69#NewStatsIn$1369851307.540969$61$2$69#AddNewDataToBuffer$1369851307.540992$61$2$69#NewStatsIn$1369851307.646836$61$2$69#AddNewDataToBuffer$1369851307.646860$61$2$69#NewStatsIn$1369851307.651372$61$2$69#AddNewDataToBuffer$1369851307.651397$61$2$69#ReleaseBuffer$1369851307.651404$61$2$69#StartRunGo$1369851307.651542$61$2#DoneRunGo$1369851307.651616$61$2
ControllerExecution,Begin#NewStatsIn$1369851308.538539$61$2$70#AddNewDataToBuffer$1369851308.538558$61$2$70#NewStatsIn$1369851308.541967$61$2$70#AddNewDataToBuffer$1369851308.541989$61$2$70#NewStatsIn$1369851308.645588$61$2$70#AddNewDataToBuffer$1369851308.645611$61$2$70#NewStatsIn$1369851308.652142$61$2$70#AddNewDataToBuffer$1369851308.652167$61$2$70#ReleaseBuffer$1369851308.652172$61$2$70#StartRunGo$1369851308.652267$61$2#DoneRunGo$1369851308.652388$61$2
ControllerExecution,Begin#NewStatsIn$1369851309.540005$61$2$71#AddNewDataToBuffer$1369851309.540052$61$2$71#NewStatsIn$1369851309.540121$61$2$71#AddNewDataToBuffer$1369851309.540142$61$2$71#NewStatsIn$1369851309.646131$61$2$71#AddNewDataToBuffer$1369851309.646154$61$2$71#NewStatsIn$1369851309.651882$61$2$71#AddNewDataToBuffer$1369851309.651906$61$2$71#ReleaseBuffer$1369851309.651912$61$2$71#StartRunGo$1369851309.652027$61$2#DoneRunGo$1369851309.652095$61$2
ControllerExecution,Begin#NewStatsIn$1369851310.538464$61$2$72#AddNewDataToBuffer$1369851310.538486$61$2$72#NewStatsIn$1369851310.541155$61$2$72#AddNewDataToBuffer$1369851310.541177$61$2$72#NewStatsIn$1369851310.644678$61$2$72#AddNewDataToBuffer$1369851310.644701$61$2$72#NewStatsIn$1369851310.650614$61$2$72#AddNewDataToBuffer$1369851310.650640$61$2$72#ReleaseBuffer$1369851310.650646$61$2$72#StartRunGo$1369851310.650747$61$2#DoneRunGo$1369851310.650815$61$2
