StartController,controller starts
ControllerExecution,Begin#NewStatsIn$1370892193.630584$61$2$87#AddNewDataToBuffer$1370892193.630606$61$2$87#NewStatsIn$1370892193.636546$61$2$87#AddNewDataToBuffer$1370892193.636555$61$2$87#NewStatsIn$1370892193.722061$61$2$87#AddNewDataToBuffer$1370892193.722071$61$2$87#NewStatsIn$1370892193.860012$61$2$87#AddNewDataToBuffer$1370892193.860032$61$2$87#ReleaseBuffer$1370892193.860038$61$2$87#StartRunGo$1370892193.860198$61$2#DoneRunGo$1370892193.860333$61$2
ControllerExecution,Begin#NewStatsIn$1370892194.629785$61$2$88#AddNewDataToBuffer$1370892194.629806$61$2$88#NewStatsIn$1370892194.635998$61$2$88#AddNewDataToBuffer$1370892194.636007$61$2$88#NewStatsIn$1370892194.722381$61$2$88#AddNewDataToBuffer$1370892194.722398$61$2$88#NewStatsIn$1370892194.858785$61$2$88#AddNewDataToBuffer$1370892194.858794$61$2$88#ReleaseBuffer$1370892194.858800$61$2$88#StartRunGo$1370892194.858944$61$2#DoneRunGo$1370892194.859124$61$2
ControllerExecution,Begin#NewStatsIn$1370892195.628856$61$2$89#AddNewDataToBuffer$1370892195.628878$61$2$89#NewStatsIn$1370892195.635473$61$2$89#AddNewDataToBuffer$1370892195.635481$61$2$89#NewStatsIn$1370892195.720995$61$2$89#AddNewDataToBuffer$1370892195.721010$61$2$89#NewStatsIn$1370892195.858486$61$2$89#AddNewDataToBuffer$1370892195.858499$61$2$89#ReleaseBuffer$1370892195.858506$61$2$89#StartRunGo$1370892195.858652$61$2#DoneRunGo$1370892195.858776$61$2
ControllerExecution,Begin#NewStatsIn$1370892196.629246$61$2$90#AddNewDataToBuffer$1370892196.629268$61$2$90#NewStatsIn$1370892196.635624$61$2$90#AddNewDataToBuffer$1370892196.635633$61$2$90#NewStatsIn$1370892196.720879$61$2$90#AddNewDataToBuffer$1370892196.720889$61$2$90#NewStatsIn$1370892196.858468$61$2$90#AddNewDataToBuffer$1370892196.858477$61$2$90#ReleaseBuffer$1370892196.858482$61$2$90#StartRunGo$1370892196.858628$61$2#DoneRunGo$1370892196.858754$61$2
ControllerExecution,Begin#NewStatsIn$1370892197.627524$61$2$91#AddNewDataToBuffer$1370892197.627544$61$2$91#NewStatsIn$1370892197.637606$61$2$91#AddNewDataToBuffer$1370892197.637615$61$2$91#NewStatsIn$1370892197.719820$61$2$91#AddNewDataToBuffer$1370892197.719829$61$2$91#NewStatsIn$1370892197.857562$61$2$91#AddNewDataToBuffer$1370892197.857577$61$2$91#ReleaseBuffer$1370892197.857584$61$2$91#StartRunGo$1370892197.857727$61$2#DoneRunGo$1370892197.857855$61$2
ControllerExecution,Begin#NewStatsIn$1370892198.627783$61$2$92#AddNewDataToBuffer$1370892198.627800$61$2$92#NewStatsIn$1370892198.635535$61$2$92#AddNewDataToBuffer$1370892198.635544$61$2$92#NewStatsIn$1370892198.720857$61$2$92#AddNewDataToBuffer$1370892198.720867$61$2$92#NewStatsIn$1370892198.856861$61$2$92#AddNewDataToBuffer$1370892198.856873$61$2$92#ReleaseBuffer$1370892198.856878$61$2$92#StartRunGo$1370892198.857037$61$2#DoneRunGo$1370892198.857204$61$2
ControllerExecution,Begin#NewStatsIn$1370892199.626410$61$2$93#AddNewDataToBuffer$1370892199.626432$61$2$93#NewStatsIn$1370892199.636925$61$2$93#AddNewDataToBuffer$1370892199.636934$61$2$93#NewStatsIn$1370892199.719044$61$2$93#AddNewDataToBuffer$1370892199.719057$61$2$93#NewStatsIn$1370892199.856980$61$2$93#AddNewDataToBuffer$1370892199.856994$61$2$93#ReleaseBuffer$1370892199.857001$61$2$93#StartRunGo$1370892199.857147$61$2#DoneRunGo$1370892199.857276$61$2
ControllerExecution,Begin#NewStatsIn$1370892200.626553$61$2$94#AddNewDataToBuffer$1370892200.626576$61$2$94#NewStatsIn$1370892200.635773$61$2$94#AddNewDataToBuffer$1370892200.635782$61$2$94#NewStatsIn$1370892200.720293$61$2$94#AddNewDataToBuffer$1370892200.720305$61$2$94#NewStatsIn$1370892200.855663$61$2$94#AddNewDataToBuffer$1370892200.855678$61$2$94#ReleaseBuffer$1370892200.855684$61$2$94#StartRunGo$1370892200.855830$61$2#DoneRunGo$1370892200.855956$61$2
ControllerExecution,Begin#NewStatsIn$1370892201.627120$61$2$95#AddNewDataToBuffer$1370892201.627142$61$2$95#NewStatsIn$1370892201.636839$61$2$95#AddNewDataToBuffer$1370892201.636848$61$2$95#NewStatsIn$1370892201.718335$61$2$95#AddNewDataToBuffer$1370892201.718344$61$2$95#NewStatsIn$1370892201.855565$61$2$95#AddNewDataToBuffer$1370892201.855576$61$2$95#ReleaseBuffer$1370892201.855581$61$2$95#StartRunGo$1370892201.855723$61$2#DoneRunGo$1370892201.855844$61$2
ControllerExecution,Begin#NewStatsIn$1370892202.625182$61$2$96#AddNewDataToBuffer$1370892202.625204$61$2$96#NewStatsIn$1370892202.635531$61$2$96#AddNewDataToBuffer$1370892202.635540$61$2$96#NewStatsIn$1370892202.716906$61$2$96#AddNewDataToBuffer$1370892202.716915$61$2$96#NewStatsIn$1370892202.854903$61$2$96#AddNewDataToBuffer$1370892202.854912$61$2$96#ReleaseBuffer$1370892202.854918$61$2$96#StartRunGo$1370892202.855059$61$2#DoneRunGo$1370892202.855183$61$2
