StartController,controller starts
rts,runtime system starts to run
StartRecvModule,start recvModule
ControllerExecution,Begin#NewStatsIn$1370114995.213882$61$2$20#AddNewDataToBuffer$1370114995.213912$61$2$20#NewStatsIn$1370114996.473591$61$2$21#AddNewDataToBuffer$1370114996.473602$61$2$21#ReleaseBuffer$1370114996.473608$61$2$20#StartRunGo$1370114996.473772$61$2#DoneRunGo$1370114996.473848$61$2
ControllerExecution,Begin#NewStatsIn$1370114998.880800$61$2$22#AddNewDataToBuffer$1370114998.880811$61$2$22#ReleaseBuffer$1370114998.880816$61$2$21#StartRunGo$1370114998.880921$61$2#DoneRunGo$1370114998.880986$61$2
ControllerExecution,Begin#NewStatsIn$1370115001.350907$61$2$23#AddNewDataToBuffer$1370115001.350918$61$2$23#ReleaseBuffer$1370115001.350923$61$2$22#StartRunGo$1370115001.351025$61$2#DoneRunGo$1370115001.351199$61$2
ControllerExecution,Begin#NewStatsIn$1370115002.125416$61$2$22#AddNewDataToBuffer$1370115002.125427$61$2$22#NewStatsIn$1370115002.475312$61$2$24#AddNewDataToBuffer$1370115002.475326$61$2$24#ReleaseBuffer$1370115002.475331$61$2$23#StartRunGo$1370115002.475562$61$2#DoneRunGo$1370115002.475714$61$2
ControllerExecution,Begin#NewStatsIn$1370115003.049409$61$2$23#AddNewDataToBuffer$1370115003.049429$61$2$23#NewStatsIn$1370115005.471142$61$2$24#AddNewDataToBuffer$1370115005.471158$61$2$24#NewStatsIn$1370115005.475231$61$2$25#AddNewDataToBuffer$1370115005.475242$61$2$25#ReleaseBuffer$1370115005.475248$61$2$24#StartRunGo$1370115005.475375$61$2#DoneRunGo$1370115005.475451$61$2
ControllerExecution,Begin#NewStatsIn$1370115008.299773$61$2$25#AddNewDataToBuffer$1370115008.299784$61$2$25#NewStatsIn$1370115008.475893$61$2$26#AddNewDataToBuffer$1370115008.475903$61$2$26#ReleaseBuffer$1370115008.475908$61$2$25#StartRunGo$1370115008.476009$61$2#DoneRunGo$1370115008.476070$61$2
ControllerExecution,Begin#NewStatsIn$1370115011.604181$61$2$26#AddNewDataToBuffer$1370115011.604198$61$2$26#NewStatsIn$1370115014.473459$61$2$27#AddNewDataToBuffer$1370115014.473471$61$2$27#ReleaseBuffer$1370115014.473475$61$2$26#StartRunGo$1370115014.473579$61$2#DoneRunGo$1370115014.473770$61$2
ControllerExecution,Begin#NewStatsIn$1370115017.560096$61$2$28#AddNewDataToBuffer$1370115017.560107$61$2$28#ReleaseBuffer$1370115017.560111$61$2$27#StartRunGo$1370115017.560214$61$2#DoneRunGo$1370115017.560278$61$2
ControllerExecution,Begin#NewStatsIn$1370115020.599202$61$2$29#AddNewDataToBuffer$1370115020.599213$61$2$29#ReleaseBuffer$1370115020.599217$61$2$28#StartRunGo$1370115020.599320$61$2#DoneRunGo$1370115020.599535$61$2
ControllerExecution,Begin#NewStatsIn$1370115023.111596$61$2$30#AddNewDataToBuffer$1370115023.111607$61$2$30#ReleaseBuffer$1370115023.111612$61$2$29#StartRunGo$1370115023.111714$61$2#DoneRunGo$1370115023.111772$61$2
ControllerExecution,Begin#NewStatsIn$1370115025.388041$61$2$31#AddNewDataToBuffer$1370115025.388052$61$2$31#ReleaseBuffer$1370115025.388057$61$2$30#StartRunGo$1370115025.388157$61$2#DoneRunGo$1370115025.388215$61$2
ControllerExecution,Begin#NewStatsIn$1370115026.480502$61$2$32#AddNewDataToBuffer$1370115026.480513$61$2$32#ReleaseBuffer$1370115026.480518$61$2$31#StartRunGo$1370115026.480620$61$2#DoneRunGo$1370115026.480679$61$2
ControllerExecution,Begin#NewStatsIn$1370115029.470744$61$2$31#AddNewDataToBuffer$1370115029.470755$61$2$31#NewStatsIn$1370115029.480632$61$2$33#AddNewDataToBuffer$1370115029.480642$61$2$33#ReleaseBuffer$1370115029.480647$61$2$32#StartRunGo$1370115029.480748$61$2#DoneRunGo$1370115029.480811$61$2
ControllerExecution,Begin#NewStatsIn$1370115032.472569$61$2$32#AddNewDataToBuffer$1370115032.472580$61$2$32#NewStatsIn$1370115032.479250$61$2$34#AddNewDataToBuffer$1370115032.479260$61$2$34#ReleaseBuffer$1370115032.479265$61$2$33#StartRunGo$1370115032.479367$61$2#DoneRunGo$1370115032.479433$61$2
ControllerExecution,Begin#NewStatsIn$1370115034.712339$61$2$33#AddNewDataToBuffer$1370115034.712349$61$2$33#NewStatsIn$1370115035.479836$61$2$35#AddNewDataToBuffer$1370115035.479848$61$2$35#ReleaseBuffer$1370115035.479853$61$2$34#StartRunGo$1370115035.479955$61$2#DoneRunGo$1370115035.480013$61$2
ControllerExecution,Begin#NewStatsIn$1370115035.760760$61$2$34#AddNewDataToBuffer$1370115035.760771$61$2$34#NewStatsIn$1370115038.480621$61$2$36#AddNewDataToBuffer$1370115038.480633$61$2$36#ReleaseBuffer$1370115038.480637$61$2$35#StartRunGo$1370115038.480740$61$2#DoneRunGo$1370115038.480800$61$2
ControllerExecution,Begin#NewStatsIn$1370115038.494504$61$2$35#AddNewDataToBuffer$1370115038.494514$61$2$35#NewStatsIn$1370115041.480303$61$2$37#AddNewDataToBuffer$1370115041.480314$61$2$37#ReleaseBuffer$1370115041.480319$61$2$36#StartRunGo$1370115041.480420$61$2#DoneRunGo$1370115041.480479$61$2
ControllerExecution,Begin#NewStatsIn$1370115041.492070$61$2$36#AddNewDataToBuffer$1370115041.492081$61$2$36#NewStatsIn$1370115044.482183$61$2$38#AddNewDataToBuffer$1370115044.482195$61$2$38#ReleaseBuffer$1370115044.482199$61$2$37#StartRunGo$1370115044.482301$61$2#DoneRunGo$1370115044.482364$61$2
