StartController,controller starts
ControllerExecution,Begin#AddNewDataToBuffer$1370901894.153481$61$7$18#ReleaseBuffer$1370901894.153499$61$7$18#StartRunGo$1370901894.154287$61$7#DoneRunGo$1370901894.154389$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901897.093174$61$6$19#ReleaseBuffer$1370901897.093196$61$6$19#StartRunGo$1370901897.099412$61$6#DoneRunGo$1370901897.100011$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901897.132813$61$7$19#ReleaseBuffer$1370901897.132829$61$7$19#StartRunGo$1370901897.133665$61$7#DoneRunGo$1370901897.133772$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901900.087692$61$6$20#ReleaseBuffer$1370901900.087711$61$6$20#StartRunGo$1370901900.089908$61$6#DoneRunGo$1370901900.090635$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901900.156246$61$7$20#ReleaseBuffer$1370901900.156266$61$7$20#StartRunGo$1370901900.159921$61$7#DoneRunGo$1370901900.162073$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901903.088349$61$6$21#ReleaseBuffer$1370901903.088363$61$6$21#StartRunGo$1370901903.088623$61$6#DoneRunGo$1370901903.089485$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901903.121575$61$7$21#ReleaseBuffer$1370901903.121589$61$7$21#StartRunGo$1370901903.121748$61$7#DoneRunGo$1370901903.121842$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901906.118350$61$6$22#ReleaseBuffer$1370901906.118373$61$6$22#StartRunGo$1370901906.123344$61$6#DoneRunGo$1370901906.125362$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901906.181759$61$7$22#ReleaseBuffer$1370901906.181781$61$7$22#StartRunGo$1370901906.188208$61$7#DoneRunGo$1370901906.188326$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901909.115993$61$6$23#ReleaseBuffer$1370901909.116010$61$6$23#StartRunGo$1370901909.125108$61$6#DoneRunGo$1370901909.125921$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901909.152676$61$7$23#ReleaseBuffer$1370901909.152694$61$7$23#StartRunGo$1370901909.159524$61$7#DoneRunGo$1370901909.159644$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901912.093308$61$6$24#ReleaseBuffer$1370901912.093325$61$6$24#StartRunGo$1370901912.093800$61$6#DoneRunGo$1370901912.094421$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901912.141259$61$7$24#ReleaseBuffer$1370901912.141275$61$7$24#StartRunGo$1370901912.141446$61$7#DoneRunGo$1370901912.141550$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901915.085530$61$6$25#ReleaseBuffer$1370901915.085551$61$6$25#StartRunGo$1370901915.091521$61$6#DoneRunGo$1370901915.096347$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901915.143569$61$7$25#ReleaseBuffer$1370901915.143588$61$7$25#StartRunGo$1370901915.152194$61$7#DoneRunGo$1370901915.152321$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901918.090766$61$6$26#ReleaseBuffer$1370901918.090785$61$6$26#StartRunGo$1370901918.091511$61$6#DoneRunGo$1370901918.092546$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901918.160685$61$7$26#ReleaseBuffer$1370901918.160703$61$7$26#StartRunGo$1370901918.168561$61$7#DoneRunGo$1370901918.168661$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901921.105098$61$6$27#ReleaseBuffer$1370901921.105119$61$6$27#StartRunGo$1370901921.110043$61$6#DoneRunGo$1370901921.112162$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901921.139800$61$7$27#ReleaseBuffer$1370901921.139817$61$7$27#StartRunGo$1370901921.148746$61$7#DoneRunGo$1370901921.148886$61$7
