StartController,controller starts
rts,runtime system starts to run
StartRecvModule,start recvModule
ControllerExecution,Begin#NewStatsIn$1370951917.079643$61$6$7#AddNewDataToBuffer$1370951917.079695$61$6$7#ReleaseBuffer$1370951917.079710$61$6$7#StartRunGo$1370951917.081027$61$6#DoneRunGo$1370951917.081132$61$6
ControllerExecution,Begin#NewStatsIn$1370951917.082503$61$6$7#AddNewDataToBuffer$1370951917.082535$61$6$7#ReleaseBuffer$1370951917.082545$61$6$7#StartRunGo$1370951917.083153$61$6#DoneRunGo$1370951917.083259$61$6
ControllerExecution,Begin#NewStatsIn$1370951917.093221$61$6$7#AddNewDataToBuffer$1370951917.093249$61$6$7#ReleaseBuffer$1370951917.093260$61$6$7#StartRunGo$1370951917.095817$61$6#DoneRunGo$1370951917.095905$61$6
ControllerExecution,Begin#NewStatsIn$1370951917.100012$61$6$7#AddNewDataToBuffer$1370951917.100050$61$6$7#ReleaseBuffer$1370951917.100061$61$6$7#StartRunGo$1370951917.107432$61$6#DoneRunGo$1370951917.107523$61$6
ControllerExecution,Begin#NewStatsIn$1370951917.297151$61$7$7#AddNewDataToBuffer$1370951917.297181$61$7$7#ReleaseBuffer$1370951917.297193$61$7$7#StartRunGo$1370951917.297631$61$7#NewStatsIn$1370951917.298476$61$7$7#AddNewDataToBuffer$1370951917.298495$61$7$7#ReleaseBuffer$1370951917.298504$61$7$7#DoneRunGo$1370951917.299309$61$7
ControllerExecution,Begin#StartRunGo$1370951917.300546$61$7#DoneRunGo$1370951917.300636$61$7
ControllerExecution,Begin#NewStatsIn$1370951917.301371$61$7$7#AddNewDataToBuffer$1370951917.301389$61$7$7#ReleaseBuffer$1370951917.301395$61$7$7#StartRunGo$1370951917.301508$61$7#DoneRunGo$1370951917.301559$61$7
ControllerExecution,Begin#NewStatsIn$1370951917.301788$61$7$7#AddNewDataToBuffer$1370951917.301797$61$7$7#ReleaseBuffer$1370951917.301803$61$7$7#StartRunGo$1370951917.301884$61$7#DoneRunGo$1370951917.301924$61$7
ControllerExecution,Begin#NewStatsIn$1370951918.777598$61$6$8#AddNewDataToBuffer$1370951918.777621$61$6$8#ReleaseBuffer$1370951918.777628$61$6$8#StartRunGo$1370951918.785929$61$6#DoneRunGo$1370951918.786578$61$6
ControllerExecution,Begin#NewStatsIn$1370951918.925320$61$7$8#AddNewDataToBuffer$1370951918.925358$61$7$8#ReleaseBuffer$1370951918.925370$61$7$8#StartRunGo$1370951918.929452$61$7#DoneRunGo$1370951918.929586$61$7
ControllerExecution,Begin#NewStatsIn$1370951919.894173$61$6$9#AddNewDataToBuffer$1370951919.894204$61$6$9#ReleaseBuffer$1370951919.894214$61$6$9#StartRunGo$1370951919.900262$61$6#DoneRunGo$1370951919.902198$61$6
ControllerExecution,Begin#NewStatsIn$1370951920.018721$61$7$9#AddNewDataToBuffer$1370951920.018741$61$7$9#ReleaseBuffer$1370951920.018749$61$7$9#StartRunGo$1370951920.018882$61$7#DoneRunGo$1370951920.018958$61$7
ControllerExecution,Begin#NewStatsIn$1370951921.889297$61$6$10#AddNewDataToBuffer$1370951921.889326$61$6$10#ReleaseBuffer$1370951921.889338$61$6$10#StartRunGo$1370951921.893188$61$6#DoneRunGo$1370951921.893924$61$6
ControllerExecution,Begin#NewStatsIn$1370951921.996253$61$7$10#AddNewDataToBuffer$1370951921.996279$61$7$10#ReleaseBuffer$1370951921.996290$61$7$10#StartRunGo$1370951922.001354$61$7#DoneRunGo$1370951922.001464$61$7
ControllerExecution,Begin#NewStatsIn$1370951923.885942$61$6$11#AddNewDataToBuffer$1370951923.885976$61$6$11#ReleaseBuffer$1370951923.885987$61$6$11#StartRunGo$1370951923.892282$61$6#DoneRunGo$1370951923.892980$61$6
ControllerExecution,Begin#NewStatsIn$1370951923.985669$61$7$11#AddNewDataToBuffer$1370951923.985688$61$7$11#ReleaseBuffer$1370951923.985695$61$7$11#StartRunGo$1370951923.985817$61$7#DoneRunGo$1370951923.985895$61$7
ControllerExecution,Begin#NewStatsIn$1370951925.874114$61$6$12#AddNewDataToBuffer$1370951925.874144$61$6$12#ReleaseBuffer$1370951925.874155$61$6$12#StartRunGo$1370951925.876778$61$6#DoneRunGo$1370951925.877532$61$6
ControllerExecution,Begin#NewStatsIn$1370951925.998105$61$7$12#AddNewDataToBuffer$1370951925.998133$61$7$12#ReleaseBuffer$1370951925.998143$61$7$12#StartRunGo$1370951925.999052$61$7#DoneRunGo$1370951925.999148$61$7
ControllerExecution,Begin#NewStatsIn$1370951927.864870$61$6$13#AddNewDataToBuffer$1370951927.864895$61$6$13#ReleaseBuffer$1370951927.864906$61$6$13#StartRunGo$1370951927.865623$61$6#DoneRunGo$1370951927.866418$61$6
ControllerExecution,Begin#NewStatsIn$1370951927.990685$61$7$13#AddNewDataToBuffer$1370951927.990709$61$7$13#ReleaseBuffer$1370951927.990720$61$7$13#StartRunGo$1370951928.003479$61$7#DoneRunGo$1370951928.003605$61$7
ControllerExecution,Begin#NewStatsIn$1370951929.861501$61$6$14#AddNewDataToBuffer$1370951929.861530$61$6$14#ReleaseBuffer$1370951929.861541$61$6$14#StartRunGo$1370951929.863136$61$6#DoneRunGo$1370951929.863530$61$6
ControllerExecution,Begin#NewStatsIn$1370951929.954557$61$7$14#AddNewDataToBuffer$1370951929.954584$61$7$14#ReleaseBuffer$1370951929.954595$61$7$14#StartRunGo$1370951929.955251$61$7#DoneRunGo$1370951929.955351$61$7
ControllerExecution,Begin#NewStatsIn$1370951931.880060$61$6$15#AddNewDataToBuffer$1370951931.880098$61$6$15#ReleaseBuffer$1370951931.880111$61$6$15#StartRunGo$1370951931.888613$61$6#DoneRunGo$1370951931.891834$61$6
